company_location,count,latitude,longitude
United States of America,1136,37.09024,-95.712891
Canada,177,56.130366,-106.346771
France,176,46.227638,2.213749
United Kingdom,145,55.378051,-3.435973
Italy,78,41.87194,12.56738
Belgium,63,50.503887,4.469936
Ecuador,58,-1.831239,-78.183406
Australia,53,-25.274398,133.775136
Switzerland,44,46.818188,8.227512
Germany,42,51.165691,10.451526
Spain,36,40.463667,-3.74922
Venezuela,31,6.42375,-66.58973
Japan,31,36.204824,138.252924
Denmark,31,56.26392,9.501785
Austria,30,47.516231,14.550072
Colombia,29,4.570868,-74.297333
New Zealand,27,-40.900557,174.885971
Hungary,26,47.162494,19.503304
Brazil,25,-14.235004,-51.92528
Peru,23,-9.189967,-75.015152
Netherlands,20,52.132633,5.291266
Madagascar,17,-18.766947,46.869107
Vietnam,16,14.058324,108.277199
Singapore,15,1.352083,103.819836
South Korea,11,35.907757,127.766922
Dominican Republic,11,18.735693,-70.162651
Mexico,10,23.634501,-102.552784
Nicaragua,10,12.865416,-85.207229
Taiwan,10,23.69781,120.960515
Guatemala,10,15.783471,-90.230759
Costa Rica,9,9.748917,-83.753428
Argentina,9,-38.416097,-63.616672
Israel,9,31.046051,34.851612
Poland,8,51.919438,19.145136
Lithuania,8,55.169438,23.881275
Sweden,6,60.128161,18.643501
Honduras,6,15.199999,-86.241905
Philippines,5,12.879721,121.774017
Thailand,5,15.870032,100.992541
United Arab Emirates,5,23.424076,53.847818
Ireland,5,53.41291,-8.24389
Fiji,4,-16.578193,179.414413
Vanuatu,4,-15.376706,166.959158
Puerto Rico,4,18.220833,-66.590149
South Africa,4,-30.559482,22.937506
Iceland,4,64.963051,-19.020835
Russia,3,61.52401,105.318756
Malaysia,3,4.210484,101.975766
Portugal,3,39.399872,-8.224454
Norway,3,60.472024,8.468946
Grenada,3,12.262776,-61.604171
Czech Republic,3,49.817492,15.472962
El Salvador,3,13.794185,-88.89653
Bolivia,2,-16.290154,-63.588653
India,2,20.593684,78.96288
Finland,2,61.92411,25.748151
Chile,2,-35.675147,-71.542969
Martinique,1,14.641528,-61.024174
Ghana,1,7.946527,-1.023194
Suriname,1,3.919305,-56.027783
